delta,exact_energy,vqe_energy,energy_error,fidelity,p_minus,p_zero,p_plus,leakage
1.0,-0.12865235768997196,-0.12865234028335637,1.740661559335166e-08,0.9999999958447132,0.009188845539447368,0.9661525178142817,0.024658636408806285,2.37464676644965e-10
1.5,-0.13906414812885717,-0.1390641057196964,4.240916076647672e-08,0.9999999845056301,0.0075333920730765455,0.9581212607920143,0.034345347129689535,5.219666971865761e-12
2.0,-0.15653402265048455,-0.15653397460163143,4.80488531184875e-08,0.9999999821225903,0.006227275391952921,0.9431318719501689,0.0506408525552169,1.0266093274856078e-10
2.5,-0.18569961947861247,-0.18569956862556491,5.085304755070297e-08,0.999999975520654,0.005110096150067411,0.9145218510959465,0.08036805275386837,1.1766175154280365e-13
3.0,-0.236697447708906,-0.23669742458562149,2.3123284509374287e-08,0.9999999924844656,0.004080843547444832,0.856049471035214,0.13986968537929884,3.804262274198862e-11
3.5,-0.3322938211756836,-0.332293772351633,4.882405063577622e-08,0.9999999575211689,0.002987465585522418,0.7327937592095336,0.26421877518509645,1.98475113552253e-11
4.0,-0.514895617042672,-0.5148953426596619,2.7438301009041766e-07,0.9999997342037442,0.001775676308836731,0.5142721160930612,0.4839522072811132,3.16988758837601e-10
4.5,-0.8165638999551068,-0.8165634826425499,4.1731255695509617e-07,0.9999996228776993,0.000824650925509672,0.28646687015570854,0.7127084789187089,7.283041651339978e-14
5.0,-1.2107460218298047,-1.2107458822417725,1.3958803224412009e-07,0.9999999030113894,0.00036138902637586156,0.15102364997632042,0.8486149609805457,1.6757877027962292e-11
5.5,-1.6532917694672689,-1.6532916068936188,1.6257365009764158e-07,0.9999999091795363,0.00017310005595808694,0.08607151072191342,0.9137553891565277,6.560075610751935e-11
6.0,-2.1191324895806267,-2.119132440660966,4.8919660766699735e-08,0.999999981829719,9.16046108863106e-05,0.05377508447523309,0.9461333102444809,6.693998183445499e-10
6.5,-2.5969785307433995,-2.596978439847205,9.089619457114395e-08,0.9999999736267373,5.336842935357168e-05,0.03619439718138167,0.963752234354803,3.4461559090108304e-11
7.0,-3.0815968650948715,-3.081596823354405,4.174046663862896e-08,0.9999999873733527,3.26129482316483e-05,0.02597609420321665,0.9739912928325036,1.60479824241942e-11
7.5,-3.570348042083446,-3.570347924033786,1.1804966026929264e-07,0.9999999697641138,2.1310176091396596e-05,0.019363332452079912,0.9806153567072734,6.645553657515748e-10
8.0,-4.0617860444875875,-4.061786028976925,1.551066208804741e-08,0.999999997106235,1.4528289105213079e-05,0.015052681006792126,0.9849327904859969,2.1810582834876794e-10
